score	repo_id	repo	resource_id	title	creator	date	is_personal	type_genre	return_to_german	born_german	home	german_places	glang	emigre	type	language	url
7	7	YIVO Institute for Jewish Research	21224	Papers of Gershom Bader	Bader, Gershom, 1868-1953	1884 -- 1953	1	0	0	0	0	1	0	0	Photographic prints	eng | yid | heb	https://archives.cjh.org/repositories/7/resources/21224
7	7	YIVO Institute for Jewish Research	21232	Papers of Henoch Gelernt	Gelernt, Henoch, 1892-1960	1930s-1950s	1	0	0	0	0	1	0	0	Handbills	eng | yid	https://archives.cjh.org/repositories/7/resources/21232
7	7	YIVO Institute for Jewish Research	21288	Raphael Abramovitch Collection	Abramovitch, Raphael R., 1880-1963	undated	1	0	0	0	0	1	0	0	Photographic prints | Photographs	eng	https://archives.cjh.org/repositories/7/resources/21288
7	7	YIVO Institute for Jewish Research	21383	Samuel Ephraim Tiktin Papers	Tiktin, Samuel E. (Samuel Ephraim), 1875-1970	1930s-1940s	1	0	0	0	0	1	0	0	Rabbis -- Biography | Jews -- Dictionaries | Jews -- Encyclopedias | Jews -- Biography | Photographic prints	eng	https://archives.cjh.org/repositories/7/resources/21383
7	7	YIVO Institute for Jewish Research	21474	Leon M. Herbert Papers	Herbert, Leon M., 1885-1965	1930 -- 1965	1	0	0	0	0	1	0	0	Hebrew language -- Conversation and phrase book (for medical personnel) | Medicine -- Terminology | English language -- 	eng | yid | heb	https://archives.cjh.org/repositories/7/resources/21474
7	7	YIVO Institute for Jewish Research	21578	Joseph D. Lewitan Papers	Lewitan, Joseph D., 1894-1976	undated	1	0	0	0	0	1	0	0	Postcards | Paintings (visual works) | Photographic prints | Drawings (visual works)	eng	https://archives.cjh.org/repositories/7/resources/21578
7	7	YIVO Institute for Jewish Research	21993	Mordechai Danzis Papers	Dantsis, Mordekhai, 1885-1952	1901 -- 1981	1	0	0	0	0	1	0	0		eng	https://archives.cjh.org/repositories/7/resources/21993
7	7	YIVO Institute for Jewish Research	22046	Jacob Davidson Papers	Davidson, Jacob, 1892-1987	1930 -- 1987	1	0	0	0	0	1	0	0		eng | yid | heb	https://archives.cjh.org/repositories/7/resources/22046
7	7	YIVO Institute for Jewish Research	22047	Papers of David Hirsch	Hirsch, David, 1890-	1892 -- 1934	1	0	0	0	0	1	0	0		eng | yid | rum	https://archives.cjh.org/repositories/7/resources/22047
7	7	YIVO Institute for Jewish Research	22061	Saul Raskin Papers	Raskin, Saul, 1878-1966	1940	1	0	0	0	0	1	0	0		eng	https://archives.cjh.org/repositories/7/resources/22061
7	7	YIVO Institute for Jewish Research	22091	Leon Schwartz Papers	Schwartz, Leon, 1901-1990	1920s-1950s	1	0	0	0	0	1	0	0		eng	https://archives.cjh.org/repositories/7/resources/22091
7	7	YIVO Institute for Jewish Research	22113	Victor Packer Papers	Packer, Victor, 1897-1958	1920 -- 1950	1	0	0	0	0	1	0	0		eng | yid	https://archives.cjh.org/repositories/7/resources/22113
7	7	YIVO Institute for Jewish Research	22134	Papers of Jacob (Yankev) Krepliak	Ḳrepliyaḳ, Y. (Yaʻaḳov), 1885-1945	1910-1960s	1	0	0	0	0	1	0	0		yid	https://archives.cjh.org/repositories/7/resources/22134
7	7	YIVO Institute for Jewish Research	22136	Tsvi Grigorii Tsepliovitch Papers	T︠S︡epliovich, Grigoriĭ, 1908-	1960s-1980s	1	0	0	0	0	1	0	0		yid | rus | heb	https://archives.cjh.org/repositories/7/resources/22136
7	7	YIVO Institute for Jewish Research	22160	Menachem Kipnis Papers	Kipnis, Menahem, 1878-1942	undated	1	0	0	0	0	1	0	0	Photographs	yid	https://archives.cjh.org/repositories/7/resources/22160
7	7	YIVO Institute for Jewish Research	22168	Papers of James Glassman	Glassman, James, 1905-1995	1930s-1980s	1	0	0	0	0	1	0	0		eng | yid | heb | lit	https://archives.cjh.org/repositories/7/resources/22168
7	7	YIVO Institute for Jewish Research	22182	Papers of Stanislaw Szczek	Szczek, Stanislaw, 1925-	1980s-1990s	1	0	0	0	0	1	0	0		eng	https://archives.cjh.org/repositories/7/resources/22182
7	7	YIVO Institute for Jewish Research	22185	Papers of Arkadie Kouguell	Kouguell, Arkadie, 1898-1985	undated, 1916-1982	1	0	0	0	0	1	0	0		eng	https://archives.cjh.org/repositories/7/resources/22185
7	7	YIVO Institute for Jewish Research	22191	Papers of Enrico Henoch Glicenstein	Glicenstein, Henryk, 1870-1942	1920s-1940s	1	0	0	0	0	1	0	0		yid | heb	https://archives.cjh.org/repositories/7/resources/22191
7	7	YIVO Institute for Jewish Research	22193	Papers of Chaim Gininger	Gininger, Chaim, 1905-1994	1930s-1990s	1	0	0	0	0	1	0	0		eng | yid | ger	https://archives.cjh.org/repositories/7/resources/22193
7	7	YIVO Institute for Jewish Research	22203	Jeremiah Hescheles Papers	Hescheles, Jeremiah, 1910-	1940s-1950s	1	0	0	0	0	1	0	0		yid	https://archives.cjh.org/repositories/7/resources/22203
7	7	YIVO Institute for Jewish Research	22212	William Siegel Papers	Siegel, William, 1893-1966	1910s-1950s	1	0	0	0	0	1	0	0		eng | yid	https://archives.cjh.org/repositories/7/resources/22212
7	7	YIVO Institute for Jewish Research	22228	Maurice Rauch and Lillian Shapero Papers	Rauch, Maurice, 1910- | Shapero, Lillian, 1908-1988	1930s-1970s	1	0	0	0	0	1	0	0		eng	https://archives.cjh.org/repositories/7/resources/22228
7	7	YIVO Institute for Jewish Research	22255	Papers of Solomon Golub	Golub, Solomon, 1887-1952	1920s-1940s	1	0	0	0	0	1	0	0		yid | heb	https://archives.cjh.org/repositories/7/resources/22255
