score	repo_id	repo	resource_id	title	creator	date	is_personal	type_genre	return_to_german	born_german	home	german_places	glang	emigre	type	language	url
17	7	YIVO Institute for Jewish Research	19910	Autobiographies of Jewish Youth in Poland	Kligsberg, Moshe | Weinreich, Max, 1894-1969 | Yidisher ṿisnshafṭlekher insṭiṭuṭ	1905-1940 | bulk 1932-1939	0	1	0	0	0	3	2	2	Autobiographies (literary works) | Diaries	yid | pol | ger | heb | eng | rus | hrv | fre | cze | The collection is in Yiddish, with some Polish, German, Hebrew, English, Russian, Serbo-Croatian, French, and Czech.	https://archives.cjh.org/repositories/7/resources/19910
17	7	YIVO Institute for Jewish Research	20048	Papers of Siegfried Bernfeld	Bernfeld, Siegfried, 1892-1953	1904-1925 | 1912-1922	1	0	0	0	0	5	1	0	Correspondence | Publications (documents) | Reports | Poems | Manuscripts (documents) | Periodicals | Contracts | Financ	ger | heb | Hebr | The collection is in German, with occasional materials in Hebrew.	https://archives.cjh.org/repositories/7/resources/20048
17	7	YIVO Institute for Jewish Research	21393	Michael Preiss Papers	Preiss, Michael, 1904-1979	1920s-1960s	1	0	0	0	0	3	3	0	Theater -- Reviews | Theater posters | Scripts (documents) | Photographic prints	eng | yid | ger	https://archives.cjh.org/repositories/7/resources/21393
17	7	YIVO Institute for Jewish Research	21930	Isaac Margulies Papers	Margulies, Isaac, 1855-1919	1894 -- 1955	1	0	0	0	0	3	3	0	Poetry	yid	https://archives.cjh.org/repositories/7/resources/21930
17	7	YIVO Institute for Jewish Research	546	Eliyahu Guttmacher Papers	Guttmacher, Elijah, 1796-1874	1828-1908, 1958 | 1847-1874	1	0	0	0	0	4	2	0	Correspondence | Financial records | Kvitlekh	heb | heb | yid | ger | fre | Hebrew, Yiddish, German, and French.	https://archives.cjh.org/repositories/7/resources/546
16	3	American Jewish Historical Society	15708	Leon David Crestohl, papers	Crestohl, Leon David, 1900-1963	undated, 1841-1963	1	1	0	0	0	2	1	0	Clippings (information artifacts) | Correspondence | Memoirs | Memorabilia | Photographs | Speeches (documents)	eng | Latn | fre | Latn | gre | Grek | heb | Hebr | ita | Latn | pol | Latn | rus | Cyrl | spa | Latn | yid | Hebr | The collection is in English, French, Greek, Hebrew, Italian, Polish, Russian, Spanish, and Yiddish.	https://archives.cjh.org/repositories/3/resources/15708
16	7	YIVO Institute for Jewish Research	21599	Louis Lewin Papers	Lewin, Louis, 1868-1941	undated	1	1	0	0	0	2	1	0	Photographic prints | Diaries	eng	https://archives.cjh.org/repositories/7/resources/21599
16	7	YIVO Institute for Jewish Research	3533	Mordecai Gebirtig Papers	Gebirtig, Mordecai, 1877-1942	1920s-1967 | 1920s-1942	1	0	0	0	0	3	2	1	Notebooks | Scores (documents for music) | Songs (musical compositions)	yid | yid | pol | Yiddish, with some Polish, German, and Hebrew.	https://archives.cjh.org/repositories/7/resources/3533
15	3	American Jewish Historical Society	1657	Samuel Oppenheim Papers	Oppenheim, Samuel, 1857-1928	undated, 1614-1938	1	0	0	0	1	1	1	0	Transcripts | Translations | Stats (copies) | Certificates of registry (ships' papers) | Ledgers (account books) | Minut	eng | Latn | dut | Latn | fre | Latn | por | Latn | yid | Hebr | The collection is in English, Dutch, French, Portuguese, and Yiddish.	https://archives.cjh.org/repositories/3/resources/1657
15	7	YIVO Institute for Jewish Research	20041	Isaac Leib Goldberg Collection	Goldberg, Isaac Leib, 1860-1935	1885-1922	1	0	0	0	0	3	2	0		mul | rus | Cyrl | ger | Latn | yid | Hebr | fre | Latn | The collection is in Russian, German, Yiddish, and French	https://archives.cjh.org/repositories/7/resources/20041
15	7	YIVO Institute for Jewish Research	21261	Mark Schweid Papers	Schweid, Mark, 1891-1969	undated	1	0	0	0	0	2	5	0	English literature -- Translations into Yiddish | Radio scripts | Yiddish language -- Societies, etc. | Playbills | Scri	eng | yid | ger	https://archives.cjh.org/repositories/7/resources/21261
15	7	YIVO Institute for Jewish Research	21376	Israel London Papers	London, Israel, 1898-	1947 -- 1964	1	0	0	0	0	3	2	0		yid	https://archives.cjh.org/repositories/7/resources/21376
15	7	YIVO Institute for Jewish Research	21400	Kalman Heisler Papers	Heisler, Kalman, 1899-1966	1930s-1960s	1	0	0	0	0	2	4	0	Yiddish language -- Societies, etc.	yid	https://archives.cjh.org/repositories/7/resources/21400
15	7	YIVO Institute for Jewish Research	21462	Max Weinreich Papers	Weinreich, Max, 1894-1969	1930s-1968	1	0	0	0	0	2	4	0	Jews -- Folklore | English language -- Dictionaries -- Yiddish | Yiddish language -- Dictionaries -- English | Photograp	yid | eng	https://archives.cjh.org/repositories/7/resources/21462
15	7	YIVO Institute for Jewish Research	21486	Samuel Jacob Harendorf Papers	Harendorf, S. J. (Shmuel J.), 1900-1969	1930s-1960s	1	0	0	0	0	2	4	0	Photographic prints	yid | eng	https://archives.cjh.org/repositories/7/resources/21486
15	7	YIVO Institute for Jewish Research	21606	Mark Wischnitzer Papers	Wischnitzer, Mark, 1882-1955	1927 -- 1955	1	0	0	0	0	4	1	0		eng | yid	https://archives.cjh.org/repositories/7/resources/21606
15	7	YIVO Institute for Jewish Research	22468	Aron Zundelevich Collection	Zundelevich, Aron, 1852-1923	1889 -- 1933	1	0	0	0	1	1	0	2		rus | Cyrl | yid | Hebr | ger | Latn	https://archives.cjh.org/repositories/7/resources/22468
15	7	YIVO Institute for Jewish Research	22566	Jewish Labor Committee Collection		1934-2009, 2017	0	1	0	0	0	2	2	7	Fundraising materials | Minutes (administrative records) | Resolutions (administrative records) | Circular letters | Pam	eng | Latn | yid | Materials are primarily in English and Yiddish, with a small amount of Hebrew, French, German, Polish, and Russian documents.	https://archives.cjh.org/repositories/7/resources/22566
15	7	YIVO Institute for Jewish Research	22568	Raphael Abramovich Collection	Abramovitch, Raphael R., 1880-1963	undated, 1906-1972,1988, 2010	1	0	0	0	0	4	0	3		yid | Hebr | rus | Cyrl | eng | Latn | ger | Latn | fre | Latn | pol | Latn | dan | Latn	https://archives.cjh.org/repositories/7/resources/22568
15	7	YIVO Institute for Jewish Research	3220	Spanish Civil War Collection		1909-2013	0	1	0	0	0	2	2	2	Brochures | Clippings (information artifacts) | Correspondence | DVDs | Financial records | Masters theses | Fliers (pri	eng | eng | yid | fre | ger | spa | cat | heb | pol | rus | ita | epo | swe | chi | In English, Yiddish, French, German, Spanish, Catalan, Hebrew, Polish, Russian, and Italian, with a few items that use Esperanto, Swedish, and Chinese.	https://archives.cjh.org/repositories/7/resources/3220
15	7	YIVO Institute for Jewish Research	3509	Jacob Shatzky Papers	Shatzky, Jacob, 1893-1956	1910-1963	1	0	0	0	0	3	2	0	Manuscripts (documents) | Correspondence	yid | yid | eng | pol | ger | spa | Yiddish, English, Polish, German, Hebrew and Spanish.	https://archives.cjh.org/repositories/7/resources/3509
15	7	YIVO Institute for Jewish Research	3596	Papers of Maxim Vinawer	Vinaver, M. (Maksim), 1862 or 1863-1926	1914-1926	1	0	0	0	0	2	2	7	Correspondence | Official documents | Newspapers | Affidavits | Drafts (documents) | Minutes (administrative records) | 	rus | rus | fre | ger | eng | pol | yid | The collection is in Russian with some  French, German, English, Polish and Yiddish.	https://archives.cjh.org/repositories/7/resources/3596
15	7	YIVO Institute for Jewish Research	487	Territorial Collection, Poland 2 (Holocaust)		1938-1978	0	1	0	0	0	2	2	8	Testimonies | Newspaper clippings | Letters (correspondence) | Articles | Documents (object genre)	pol | pol | rus | yid | ger | eng | fre | heb | swe | dan | Polish, Russian, Yiddish, German, English, French, Hebrew, Swedish, Danish.	https://archives.cjh.org/repositories/7/resources/487
14	3	American Jewish Historical Society	6731	Morris Gordon Papers	Gordon, Morris, 1914-2005	undated, 1937-2006	1	1	0	0	0	1	0	3	Correspondence | Memoirs | Photographs	eng | Latn | heb | Hebr | chi | Hani	https://archives.cjh.org/repositories/3/resources/6731
14	7	YIVO Institute for Jewish Research	19975	Tcherikower Archive YIVO Administration Records	Cherikover, I. M., 1881-1943	1921-1962 | bulk 1925-1943	0	1	0	0	0	2	2	1	Administrative records | Archival materials | Correspondence | Memoirs	yid | ger | fre | rus | eng | pol | The collection is in Yiddish, with some German, French, Russian, English, and Polish.	https://archives.cjh.org/repositories/7/resources/19975
14	7	YIVO Institute for Jewish Research	21161	Papers of Jacques Bielinky	Biélinky, Jacques, 1881-	1926 -- 1942	1	1	0	0	0	1	0	2	Diaries	fre	https://archives.cjh.org/repositories/7/resources/21161
14	7	YIVO Institute for Jewish Research	21575	Jakob Apenszlak Papers	Apenszlak, Jacob, 1894-1950	1939 -- 1945	1	1	0	0	0	1	0	4	Diaries	eng | pol	https://archives.cjh.org/repositories/7/resources/21575
14	7	YIVO Institute for Jewish Research	3575	David Trotsky Collection	Trotsky, David, 1904-1945	1907-1940 | 1920-1938	1	0	0	0	0	2	2	1	Administrative reports | Financial records | Fliers (printed matter) | Newsletters | Clippings (information artifacts) |	fre | fre | dut | yid | cze | ger | hun | rus | pol | The collection is in French,  Dutch, Yiddish, Czech, German, Hungarian, Russian, and Polish.	https://archives.cjh.org/repositories/7/resources/3575
14	7	YIVO Institute for Jewish Research	528	Joseph A. Rosen Papers	Rosen, Joseph A., 1877-1949	1911-1943 | 1922-1938	1	0	0	0	0	2	2	1	Photographic prints | Land surveys	rus | rus | eng | ger | ukr | yid | fre | spa | The collection is in Russian, English, German, Ukrainian, Yiddish, French, and Spanish.	https://archives.cjh.org/repositories/7/resources/528
13	3	American Jewish Historical Society	13257	Louis Broido papers	Broido, Louis, 1896-1975	undated, 1922-1976	1	0	0	0	0	2	2	0	Affidavits | Annual reports | Articles | Correspondence | Financial records | Memorandums | Minutes (administrative reco	eng | Latn | fre | Latn | ger | Latn | yid | Hebr | The collection is in English, French, German, and Yiddish.	https://archives.cjh.org/repositories/3/resources/13257
13	3	American Jewish Historical Society	15775	Fort Ontario Emergency Refugee Shelter Collection	Cohen, Jack, 1919-2012 | Tzechoval, Mosco	1944-1947, 1960, 1975	1	0	0	0	0	1	2	6	Reports | Clippings (information artifacts) | Correspondence | Minutes (administrative records) | Photographs | Sermons	eng | Latn | yid | Hebr | heb | Hebr | ger | Latn | ita | Latn | hrv | Latn | The collection is primarily in English, with a substantial amount of material in Yiddish and Hebrew, and a few items in German, Italian, and Croatian.	https://archives.cjh.org/repositories/3/resources/15775
13	3	American Jewish Historical Society	2769	Abraham Selz Collection	Selz, Abraham, 1819-1906	1853-1881, 1981	1	0	0	0	0	2	2	0		eng | Latn | heb | Hebr | yid | Hebr | ger | Latn | Collection is in English, Hebrew, Yiddish, and German.	https://archives.cjh.org/repositories/3/resources/2769
13	7	YIVO Institute for Jewish Research	19900	Elias Tcherikower Collection	Cherikover, I. M., 1881-1943	1793-1976	1	1	0	0	0	1	0	1	Correspondence | Minutes (administrative records) | Official documents | Official reports | Petitions | Manuscripts (doc	yid | Hebr | rus | Cyrl | pol | Latn | ukr | Cyrl | bel | Cyrl | ger | Latn | heb | Hebr | eng | Latn | lit | Latn | fre | Latn	https://archives.cjh.org/repositories/7/resources/19900
13	7	YIVO Institute for Jewish Research	19985	Abraham Sutzkever-Szmerke Kaczerginski Historical Collection	Sutzkever, Abraham, 1913-2010 | Kaczerginski, Szmerke, 1908-1954	1680-1941	1	0	0	0	0	1	2	2	Manuscripts (documents) | Correspondence | Jews -- Folklore | Contracts | Registers (lists) | Short stories | Financial 	yid | heb | ger | rus	https://archives.cjh.org/repositories/7/resources/19985
13	7	YIVO Institute for Jewish Research	21214	Leon Baratz Papers	Baratz, Leon, 1896-	1920s-1954	1	0	0	0	0	2	2	0		eng	https://archives.cjh.org/repositories/7/resources/21214
13	7	YIVO Institute for Jewish Research	21349	Papers of Ezra Korman	Korman, Ezra, 1888-1959	1926 -- 1959	1	0	0	0	0	1	4	0	Poetry | German poetry -- Translations into Yiddish	eng | yid	https://archives.cjh.org/repositories/7/resources/21349
13	7	YIVO Institute for Jewish Research	21360	Ossip Dymow Papers	Dymow, Ossip, 1878-1959	1900 -- 1958	1	0	0	0	0	1	4	0		eng | yid | rus | ger	https://archives.cjh.org/repositories/7/resources/21360
13	7	YIVO Institute for Jewish Research	21364	Jacob Adler Papers	Adler, Y., 1874-1974	1890s-1970	1	0	0	0	0	1	5	0	Photographic prints | Poetry	yid | eng	https://archives.cjh.org/repositories/7/resources/21364
13	7	YIVO Institute for Jewish Research	21388	Melech Chmelnitzky Papers	Chmelnitzky, Melech, 1885-1946	undated	1	0	0	0	0	1	3	0	Poetry	yid	https://archives.cjh.org/repositories/7/resources/21388
13	7	YIVO Institute for Jewish Research	21532	Shifra Lerer and Ben-Zion Witler Papers	Lerer, Shifra, 1915-2011 | Witler, Ben-Zion, 1907-1961	1930s-1961	1	0	0	0	0	1	3	0	Scripts (documents) | Scrapbooks | Photographic prints | Scores (documents for music) | Albums (books)	yid	https://archives.cjh.org/repositories/7/resources/21532
13	7	YIVO Institute for Jewish Research	21603	Zalman Shneur Papers	Shneour, Zalman, 1887-1959	1902-1961	1	0	0	0	0	1	5	0	Hebrew literature -- Translations into Russian | English literature -- Translations from Hebrew | Hebrew literature -- T	eng | heb | yid	https://archives.cjh.org/repositories/7/resources/21603
13	7	YIVO Institute for Jewish Research	21931	Leib Kadison Papers	Kadison, Leib, 1880-1947	1916 -- 1947	1	0	0	0	0	1	3	0	Drawings (visual works) | Paintings (visual works) | Photographic prints | Theater posters	yid	https://archives.cjh.org/repositories/7/resources/21931
13	7	YIVO Institute for Jewish Research	21981	Jacob Katz Papers	Katz, Jacob, 1907-1974	1930s-1970s	1	0	0	0	0	1	2	5	Photographic prints	eng	https://archives.cjh.org/repositories/7/resources/21981
13	7	YIVO Institute for Jewish Research	21990	Meyer Stiker Papers	Stiker, Meyer, 1905-1983	1930s-1970s	1	0	0	0	0	1	4	0	Poetry	yid	https://archives.cjh.org/repositories/7/resources/21990
13	7	YIVO Institute for Jewish Research	22481	Grigory Aronson Collection	Aronson, Gregor, 1887-1968	undated, 1923-1984	1	0	0	0	0	3	0	2		yid | Hebr | eng | Latn | ger | Latn | fre | Latn | rus | Cyrl	https://archives.cjh.org/repositories/7/resources/22481
12	3	American Jewish Historical Society	2636	Jacques Judah Lyons papers	Lyons, Jacques J. (Jacques Judah), 1813-1877	undated, 1705-1885, 1908, 1911-1914, 1917-1919, 1933, 1950	1	1	0	0	0	1	0	0	Sermons | Admission tickets | Articles | Bills of sale | Certificates | Contracts | Correspondence | Diaries | Drafts (d	eng | Latn | dut | Latn | heb | Hebr | spa | Latn | por | Latn | The collection is in English, Dutch, Hebrew, Spanish, and Portuguese.	https://archives.cjh.org/repositories/3/resources/2636
12	3	American Jewish Historical Society	34	Adler Family Papers	Adler, Ellen, 1927- | Freed, Selwyn Z.	1893-1992 | 1920 -- 1977	1	0	0	0	0	1	2	1	Correspondence | Drawings (visual works) | Manuscripts (documents) | Clippings (information artifacts) | Photographs | P	yid | Hebr | eng | Latn | heb | Hebr | rus | Cyrl | ger | Latn | dut | Latn	https://archives.cjh.org/repositories/3/resources/34
12	3	American Jewish Historical Society	837	Isadore Breslau Papers	Breslau, Isadore, 1897-1978	1911-1975	1	0	0	0	0	3	0	1		eng | Latn | yid | Hebr	https://archives.cjh.org/repositories/3/resources/837
12	7	YIVO Institute for Jewish Research	21354	Koppel Pinson Papers	Pinson, Koppel S. (Koppel Shub), 1904-1961	1930s-1940s	1	0	0	0	0	3	0	1		eng	https://archives.cjh.org/repositories/7/resources/21354
11	3	American Jewish Historical Society	13253	Lee Kaufer Frankel collection	Frankel, Lee K. (Lee Kaufer), 1867-1931	undated, 1889-1933, 1936-1938, 1942-1944	1	0	0	0	0	1	2	0	Articles | Bills (legislative records) | News bulletins | Correspondence | Financial statements | Memorandums | Minutes 	eng | Latn | fre | Latn | ger | Latn | heb | Hebr | ita | Latn | pol | Latn | por | Latn | spa | Latn | yid | Hebr | The collection is in English, French, German, Hebrew, Italian, Polish, Portuguese, Spanish, and Yiddish.	https://archives.cjh.org/repositories/3/resources/13253
11	3	American Jewish Historical Society	15239	Rabbi Abraham Haselkorn (1905-1982) WWII Papers	Haselkorn, Abraham, 1905-1982	undated, 1944	1	0	0	0	0	2	0	2	Advertisements | Black-and-white photographs | Clippings (information artifacts) | Invitations | Leaflets (printed works	eng | Latn | fre | Latn | ger | Latn	https://archives.cjh.org/repositories/3/resources/15239
11	3	American Jewish Historical Society	1576	Bernard G. Richards Papers	Richards, Bernard G.	undated, 1820, 1868, 1895-1996, 1999	0	1	0	0	0	2	1	0	Speeches (documents) | Articles | Correspondence | Invitations | Memoirs | Memorandums | Minutes (administrative records	eng | Latn | ara | Arab | chi | Hani | dut | Latn | fre | Latn | ger | Latn | gre | Grek | heb | Hebr | ita | Latn | pol | Latn | rus | Cyrl | spa | Latn | yid | Hebr	https://archives.cjh.org/repositories/3/resources/1576
11	3	American Jewish Historical Society	18397	Shloyme Rosenberg Collection	Rosenberg, Shloyme, 1896-1975	undated, 1940-1977	1	0	0	0	0	1	2	0	Articles | Clippings (information artifacts) | Correspondence | Manuscripts (documents) | Photographs | Speeches (docume	yid | Hebr | eng | Latn | fre | Latn | heb | Hebr | The collection is predominantly in Yiddish, with some English, French, and Hebrew.	https://archives.cjh.org/repositories/3/resources/18397
11	3	American Jewish Historical Society	19716	Philip Cowen Papers	Cowen, Philip, 1853-1943	undated, 1873-1935 | undated, 1873-1935	1	0	0	0	0	1	2	0	Clippings (information artifacts) | Publications (documents) | Correspondence | Testimonials | Surveys (documents) | Res	eng | Latn | rus | Cyrl | ger | Latn | fre | Latn | chi | Hani | The collection is in English, Russian, German, French, and Chinese. | The collection is in English, Russian, German, French, and Chinese.	https://archives.cjh.org/repositories/3/resources/19716
11	3	American Jewish Historical Society	19865	Robison Family Papers	Robison family	undated, 1904-1995	0	1	0	0	0	1	2	0	Administrative records | Audiotapes | News bulletins | Certificates | Clippings (information artifacts) | Correspondence	eng | Latn | fre | Latn | ger | Latn | heb | Hebr | per | Xpeo | kor | Hang | spa | Latn | swe | Latn | yid | Hebr | The collection is predominantly in English, with some French, German, Hebrew, Persian, Korean, Spanish, Swedish, and Yiddish.	https://archives.cjh.org/repositories/3/resources/19865
11	3	American Jewish Historical Society	20110	Simon H. Rifkind Papers	Rifkind, Simon H. (Simon Hirsch), 1901-1995	"undated, 1921-1995
 | 1945-1995"	1	0	0	0	0	2	0	4	Correspondence | Newspaper clippings | Publications (documents) | Speeches (documents)	eng | Latn | heb | Hebr	https://archives.cjh.org/repositories/3/resources/20110
11	3	American Jewish Historical Society	2669	Irene S. Woods papers	Woods, Irene S., 1921-	1988-1991	1	0	0	0	0	2	0	3		eng | Latn | English	https://archives.cjh.org/repositories/3/resources/2669
11	3	American Jewish Historical Society	2719	Louis Stern Papers	Stern, Louis, 1893-	1905-1915, 1932, 1962	1	0	0	0	0	3	0	0		eng | Latn	https://archives.cjh.org/repositories/3/resources/2719
11	3	American Jewish Historical Society	2953	Solomon Robert Kagan papers	Kagan, Solomon R. (Solomon Robert), 1889-1955	undated, 1920, 1928, 1938, 1940-1955	1	0	0	0	0	2	1	0	Clippings (information artifacts) | Correspondence | Pamphlets | Petitions	eng | Latn | heb | Hebr | ger | Latn | fre | Latn | The collection is predominantly in English, with some Hebrew, German, and French.	https://archives.cjh.org/repositories/3/resources/2953
11	3	American Jewish Historical Society	6100	Emily Phillips, papers	Phillips, Emily, 1822-1909	undated, 1893	1	0	0	0	0	1	2	0	Greeting cards	eng | Latn | fre | Latn | ger | Latn | heb | Hebr | ita | Latn | yid | Hebr | The collection is in English, with French, German, Hebrew, Italian, and Yiddish.	https://archives.cjh.org/repositories/3/resources/6100
11	3	American Jewish Historical Society	6199	Sulzberger family collection	Sulzberger, Mayer, 1843-1923 | Sulzberger, Arthur Hays, 1891-1968 | Sulzberger family	1825-1953	1	0	0	0	0	3	0	0	Wills	ger | Latn	https://archives.cjh.org/repositories/3/resources/6199
11	7	YIVO Institute for Jewish Research	19976	Papers of Zemach Shabad	Schabad, Z., 1864-1935	1907-1934	1	0	0	0	0	1	2	0	Annual reports | Correspondence | Medical records | Minutes (administrative records) | Poetry | Travel documents	und | rus | Cyrl | The collection is in Russian, with some Polish, Yiddish, and German.	https://archives.cjh.org/repositories/7/resources/19976
11	7	YIVO Institute for Jewish Research	21221	Sol Feinstone Papers	Feinstone, Sol, 1888-1980	1882 -- 1939	1	0	0	0	0	3	0	0	Visitors' books	eng | ger	https://archives.cjh.org/repositories/7/resources/21221
11	7	YIVO Institute for Jewish Research	21302	Mendel and Alte Sudarski Papers	Sudarsky, Mendel, 1885-1951 | Sudarsky, Alte	1938 -- 1958	1	0	0	0	0	1	2	0	Photographic prints | Yiddish language -- Societies, etc.	eng | yid	https://archives.cjh.org/repositories/7/resources/21302
11	7	YIVO Institute for Jewish Research	21337	Solomon Linder Papers	Linder, Solomon, 1886-1960	1886 -- 1960	1	0	0	0	0	1	2	0		eng | yid	https://archives.cjh.org/repositories/7/resources/21337
11	7	YIVO Institute for Jewish Research	21411	Papers of Abba Stolzenberg	Stolzenberg, Abba, 1905-1941	1905 -- 1966	1	0	0	0	0	1	2	0	Poetry	eng	https://archives.cjh.org/repositories/7/resources/21411
11	7	YIVO Institute for Jewish Research	21454	Papers of Bella Bellarina	Bellarina, Bella, 1898-1969	1910s-1960s	1	0	0	0	0	1	2	0	Theater -- Reviews | Scripts (documents) | Photographic prints	eng | yid	https://archives.cjh.org/repositories/7/resources/21454
11	7	YIVO Institute for Jewish Research	21457	Papers of Ilya Trotsky	Trot︠s︡kiĭ, Ilʹi︠a︡ (Ilʹi︠a︡ Markovich), 1879-1969	1937-1968	1	0	0	0	0	1	2	0	Russian literature -- Societies, etc.	eng	https://archives.cjh.org/repositories/7/resources/21457
11	7	YIVO Institute for Jewish Research	21515	Israel Jacob Schwartz Papers	Schwartz, Israel Jacob, 1885-1971	1947 -- 1971	1	0	0	0	0	1	2	0	Photographic prints	yid	https://archives.cjh.org/repositories/7/resources/21515
11	7	YIVO Institute for Jewish Research	21542	Papers of Mordkhe Schaechter	Schaechter, Mordkhe, 1927-2007	1940s-1970s	1	0	0	0	0	1	2	0	Photographic prints	eng	https://archives.cjh.org/repositories/7/resources/21542
11	7	YIVO Institute for Jewish Research	21565	Mordechai Hampel Papers	Hampel, Mordechai, 1905-1982	1960s-1970s	1	0	0	0	0	1	1	2	Photographic prints	yid	https://archives.cjh.org/repositories/7/resources/21565
11	7	YIVO Institute for Jewish Research	21593	Reuben Iceland Papers	Iceland, Reuben, 1884-1955	1906 -- 1954	1	0	0	0	0	1	2	0	Poetry | Photographic prints	yid	https://archives.cjh.org/repositories/7/resources/21593
11	7	YIVO Institute for Jewish Research	21612	Papers of E. Vershleisser	Vershleisser, E., 1896-1959	1938 -- 1965	1	0	0	0	0	1	2	0	Identity cards | Photographic prints	eng | yid	https://archives.cjh.org/repositories/7/resources/21612
11	7	YIVO Institute for Jewish Research	21997	Isaac Metzker Papers	Metzker, Isaac, 1902-1984	1930s-1970s	1	0	0	0	0	1	2	0		yid	https://archives.cjh.org/repositories/7/resources/21997
11	7	YIVO Institute for Jewish Research	22077	Papers of Hans Biberstein and Erna Stein-Biberstein	Biberstein, Hans, 1899-1965 | Stein-Biberstein, Erna	1884 -- 1960	1	0	0	0	0	3	0	0		eng	https://archives.cjh.org/repositories/7/resources/22077
11	7	YIVO Institute for Jewish Research	22592	Holocaust Collection		1906 -- 2021 | 1933 -- 1989	0	1	0	0	0	2	0	34	Articles | Brochures | Clippings (information artifacts) | Correspondence | Exhibition catalogs | Magazines (periodicals	mul	https://archives.cjh.org/repositories/7/resources/22592
10	3	American Jewish Historical Society	12465	Joachim Feldman Papers	Feldman, Joachim, 1891-	undated, 1940-1942	1	0	0	0	0	1	1	1	Correspondence	eng | Latn | ger | Latn | The collection is in English and German.	https://archives.cjh.org/repositories/3/resources/12465
10	3	American Jewish Historical Society	13254	Cyrus Adler Papers	Adler, Cyrus, 1863-1940	undated, 1883-1937	1	0	0	0	0	1	1	1	History -- Sources	eng | Latn | eng | heb | yid | The collection is in English, with some Hebrew and Yiddish.	https://archives.cjh.org/repositories/3/resources/13254
10	3	American Jewish Historical Society	15519	Jesse B. Calmenson, papers	Calmenson, Jesse B., 1892-1952	undated, 1903-1952, 1966, 1978-1979, 1981, 1995-1996	1	0	0	0	0	1	1	1	Agendas (administrative records) | Announcements | Articles | Ballots | Bylaws (administrative records) | Certificates o	eng | Latn | ger | Latn | The collection is in English and German.	https://archives.cjh.org/repositories/3/resources/15519
10	3	American Jewish Historical Society	20017	Jack D. Weiler and Family Papers	Weiler, Jack D., 1904-1995 | Weiler family | Weiler, Doris	1920 -- 2014 | 1910 -- 1990	1	0	0	0	0	1	1	1		eng | yid | rus | The collection is primarily in English with some Yiddish and one item in Russian. Some shorthand also appears in the collection. 	https://archives.cjh.org/repositories/3/resources/20017
9	3	American Jewish Historical Society	13278	Metz-Greene-Stone Family Papers	Metz family | Greene family | Stone family	undated, 1910-2015	0	1	0	0	0	2	0	0	Awards | Audiocassettes | Articles | Books | Clippings (information artifacts) | Correspondence | Diaries | Diplomas | E	eng | Latn | heb | Hebr	https://archives.cjh.org/repositories/3/resources/13278
9	3	American Jewish Historical Society	15439	Representative Isaac Siegel Papers	Siegel, Isaac, 1880-1947	1897-1944	1	0	0	0	0	1	1	0	Correspondence	eng | Latn | yid | Hebr | The collection is in English and some Yiddish.	https://archives.cjh.org/repositories/3/resources/15439
9	3	American Jewish Historical Society	15551	Tobias Geffen Papers	Geffen, Tobias, 1870-1970	undated, 1884-1985	1	0	0	0	0	2	0	0	Articles | Contracts | Correspondence | Invitations | Sermons	eng | Latn | fre | Latn | ger | Latn | heb | Hebr | lit | Latn | pol | Latn | rus | Cyrl | yid | Hebr	https://archives.cjh.org/repositories/3/resources/15551
9	3	American Jewish Historical Society	15565	Philip Lax Papers	Lax, Philip, 1920-	undated, 1915, 1917, 1944-2003, 2005-2008 | 1970 -- 1989	1	0	0	0	0	2	0	0	Agendas (administrative records) | Correspondence | Minutes (administrative records) | Photographs | Publications (docum	eng | Latn	https://archives.cjh.org/repositories/3/resources/15565
9	3	American Jewish Historical Society	15592	Louis Marshall Papers	Marshall, Louis, 1856-1929	undated, 1905-1933	1	0	0	0	0	2	0	0		eng | Latn | yid | Hebr	https://archives.cjh.org/repositories/3/resources/15592
9	3	American Jewish Historical Society	15649	Mordecai Manuel Noah, papers	Noah, M. M. (Mordecai Manuel), 1785-1851	undated, 1816-1851	1	0	0	0	0	2	0	0		eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/15649
9	3	American Jewish Historical Society	15703	Norman Salit (1896-1960) Papers	Salit, Norman, 1896-1960	undated, 1916-1965 | undated, 1916-1965	1	0	0	0	0	2	0	0	Manuscripts (documents) | Publications (documents) | Articles | Correspondence | Reports | Sermons | Essays | Lectures |	eng | Latn | heb | Hebr | The collection is in English with some Hebrew.	https://archives.cjh.org/repositories/3/resources/15703
9	3	American Jewish Historical Society	2693	August Bondi papers	Bondi, August M. (August Mendel), 1833-1907	1883-1906	1	0	0	0	0	2	0	0		eng | Latn	https://archives.cjh.org/repositories/3/resources/2693
9	3	American Jewish Historical Society	2698	Moses Ezekiel papers	Ezekiel, Moses Jacob, 1844-1917 | Markens, Isaac, 1846-1928 | Krause, Max	1872-1908	1	0	0	0	0	1	1	0	Correspondence	eng | Latn | ger | Latn | English and German	https://archives.cjh.org/repositories/3/resources/2698
9	3	American Jewish Historical Society	2710	Meyer Kayserling papers	Kayserling, Meyer, 1829-1905	undated, 1859-1865	1	0	0	0	0	2	0	0		eng | Latn | ger | Latn	https://archives.cjh.org/repositories/3/resources/2710
