doc_id	page_no	tesseract_grade	tesseract_chars	gemini_chars	ratio
0422-3__0422-S18	313	poor	0	45	45.0
0422-3__0422-S18	322	clean	2102	2126	1.01
0422-3__0422-S18	324	mixed	1959	1927	0.98
0422-3__0422-S18	323	mixed	1613	2400	1.49
0422-3__0422-S18	327	mixed	1476	1460	0.99
0422-3__0422-S18	325	mixed	1717	1688	0.98
0422-3__0422-S18	326	mixed	1510	2733	1.81
0422-3__0422-S18	328	mixed	2146	3261	1.52
0422-3__0422-S18	329	mixed	1914	2140	1.12
0422-3__0422-S18	330	mixed	2200	2398	1.09
0422-3__0422-S18	333	mixed	2237	2195	0.98
0422-3__0422-S18	331	mixed	1951	2173	1.11
0422-3__0422-S18	332	mixed	2280	2244	0.98
0422-3__0422-S18	335	mixed	814	824	1.01
0422-3__0422-S18	334	mixed	894	1483	1.66
0422-3__0422-S18	336	mixed	42	76	1.81
0422-3__0422-S18	338	mixed	2834	3251	1.15
0422-3__0422-S18	340	mixed	189	2107	11.15
0422-3__0422-S18	337	mixed	4589	4996	1.09
0422-3__0422-S18	344	mixed	2027	2068	1.02
0422-3__0422-S18	341	mixed	4152	5033	1.21
0422-3__0422-S18	346	poor	99	2020	20.4
0422-3__0422-S18	347	mixed	4985	9684	1.94
0422-3__0422-S18	345	mixed	6397	9524	1.49
0422-3__0422-S18	348	mixed	7299	9133	1.25
0422-3__0422-S18	349	mixed	8816	13328	1.51
0422-3__0422-S18	350	mixed	6729	8676	1.29
0422-3__0422-S18	352	mixed	8668	9884	1.14
0422-3__0422-S18	353	mixed	2849	4137	1.45
0422-3__0422-S18	355	mixed	137	115	0.84
0422-3__0422-S18	354	mixed	153	2318	15.15
0422-3__0422-S18	351	mixed	10533	13148	1.25
0444-3__0444-D03	25	mixed	1384	1460	1.05
0444-3__0444-D01	7	mixed	1515	1516	1.0
0444-3__0444-D01	6	mixed	2429	2450	1.01
0444-3__0444-D03	26	mixed	2073	2031	0.98
0444-3__0444-D03	27	clean	2390	2408	1.01
0444-3__0444-D03	33	mixed	343	336	0.98
0444-3__0444-D03	29	clean	3959	3998	1.01
0444-3__0444-D04	8	mixed	177	251	1.42
0444-3__0444-D04	11	clean	2788	2730	0.98
0444-3__0444-D04	9	mixed	426	421	0.99
0444-3__0444-D04	12	clean	1213	1254	1.03
0444-3__0444-D04	16	clean	3010	2900	0.96
0444-3__0444-D03	31	mixed	4483	4335	0.97
0444-3__0444-D04	17	mixed	1690	1672	0.99
0444-3__0444-D04	19	mixed	3140	3182	1.01
0444-3__0444-D04	23	mixed	1569	1621	1.03
0444-3__0444-D04	18	mixed	1994	2015	1.01
0444-3__0444-D04	14	mixed	1672	1651	0.99
0444-3__0444-D04	24	mixed	730	714	0.98
0444-3__0444-D03	32	mixed	4807	4817	1.0
0444-3__0444-D05	230	poor	3640	3535	0.97
0444-3__0444-D05	232	clean	4958	4950	1.0
0444-3__0444-D05	234	mixed	3094	3108	1.0
0444-3__0444-D05	235	clean	7340	7198	0.98
0444-3__0444-D05	237	clean	9929	10106	1.02
0444-3__0444-D05	231	poor	3172	3188	1.01
0444-3__0444-D05	238	clean	4956	4950	1.0
0444-3__0444-D05	225	mixed	5496	5568	1.01
0444-3__0444-D05	240	clean	4352	4357	1.0
0444-3__0444-D05	228	clean	6997	7051	1.01
0444-3__0444-D10	249	poor	1376	3669	2.67
0444-3__0444-D05	246	mixed	14562	15096	1.04
0444-3__0444-D10	250	poor	295	1071	3.63
0444-3__0444-D05	247	mixed	17960	19767	1.1
